"Speaker","Word","Iter","Vowel","Phonation","Tone","Duration","h1c","h1h2c","h2h4c","h1a1c","h1a2c","h1a3c","h42Kc","h2Kh5Kc","cpp","energy","hnr05","hnr15","hnr25","hnr35","shr","f0","f1","f2","b1","b2","epoch","soe","F0z","str_outlier","zF1F2","formant_outlier","h1cz","h1h2cz","h2h4cz","h42Kcz","h2Kh5Kcz","h1a1cz","h1a2cz","h1a3cz","energyz","hnr05z","hnr15z","hnr25z","hnr35z","cppz","shrz","f0z","f1z","f2z","b1z","b2z","epochz","norm.soe","H1c.resid"
"f7","ya7a",3,"a","laryngealized","L",123,-21.89,-0.214,5.607,20.5125,6.7245,5.8065,-0.625,8.979,16.5065,-2.34678748622466,30.092,30.6715,30.616,32.7925,0.1435,214.4545,789.6775,1901.8705,306.896,160.8045,0.1925,0.0225,0.676611616848194,"OK",1.16245715864754,NA,-2.16567811861869,-1.28139372824586,0.591267621260612,-0.804830821638766,-0.77136979294014,-0.119897736509602,-0.753932035258821,-0.52960226429654,-1.12160639541256,0.28957698814868,-0.130440747190836,-0.312289965991019,-0.32641337689689,0.273460960572537,-0.802652603297743,0.889412094811076,0.807436738679038,0.566342028437158,-0.0365543286431128,-0.0648274792923106,0.588153486847751,0.48116422398284,-1.47185405514354
"f7","yag",1,"a","modal","L",128,-16.919,-12.0715,9.6025,2.9625,-2.5285,3.1475,4.9725,18.4835,15.2935,-1.55284196865778,23.1545,27.405,29.1345,32.4695,0.404,90.8445,409.7295,1799.167,184.0225,152.4585,0.184,0.0255,-1.2963655329716,"OK",0.9646094848561,NA,-1.3899594041362,-3.47096598524902,0.97431774726272,-0.191507249401722,0.1030818073893,-1.75745139354875,-1.57551644405088,-0.740554944723213,0.439604384085159,-0.488052258113622,-0.456123547199525,-0.460136857181169,-0.359156826673571,-0.0188036410717118,0.386349665584496,-1.04288308822904,-0.769202668701878,0.143408080030913,-0.663561354796903,-0.151520484455867,0.457736844111945,0.520970766842207,-1.66189802835853
"f7","yag",2,"a","modal","L",110,-7.873,6.3775,12.715,35.917,31.317,33.9225,18.19,-7.1395,14.8975,-2.25963731050576,25.3815,30.742,33.4825,37.399,0,185.7365,981.0395,1953.2915,335.485,209.312,0.1745,0.057,0.21823480438541,"OK",2.98936669641538,NA,0.0216582766541036,-0.0642260679434041,1.27271432270548,1.25674720634515,-2.25433555862062,1.31746381960775,1.42966404960217,1.70099027533352,-0.950234694512429,-0.238426264394538,-0.123411622010792,-0.0262264401074102,0.140560930831515,-0.114217311517815,-1.4576308205131,0.440486821236559,1.60151611342302,0.778094174770999,0.10933151224781,0.439037958998038,0.311977066936633,0.780495300122815,0.609472058474749
"f7","yag",3,"a","modal","L",108,-5.3335,6.182,22.659,34.1,22.2055,20.6845,-6.8855,10.9525,18.0545,-2,32.6515,38.44,38.915,40.917,0,178.452,715.0855,1849.956,498.5985,198.2755,0.1745,0.0765,0.101964664041892,"OK",0.652361096808553,NA,0.41794427050409,-0.100326542431628,2.22604943795138,-1.49079995500009,-0.589799985664623,1.1479233640613,0.620643586972877,0.65074898782382,-0.439685092615799,0.576473140337273,0.644109025308014,0.515912092724511,0.497190826541604,0.646441672316394,-1.4576308205131,0.32661412274246,0.49790836459796,0.352557644608604,0.941677873021584,0.324397729967653,0.311977066936633,0.876524202528769,0.689932820904543
"f7","yah",1,"a","modal","L",124,-2.8475,9.189,-6.474,15.455,13.887,9.103,14.452,17.351,15.5915,-1.58502665202918,30.081,39.013,40.1345,41.031,0.453,189.5395,324.9625,2038.3655,188.0785,170.8325,0.187,0.075,0.27893565464643,"OK",3.29631174109783,NA,0.805881652158378,0.454937533200546,-0.566942508192892,0.847170875300567,-0.00111267284354629,-0.591802444229002,-0.117965502461551,-0.268073301894687,0.376316572135367,0.288343990424877,0.701239361877731,0.637612588037632,0.508747338227491,0.0529975553751027,0.610000764145838,0.499936045256474,-1.12095341523945,1.12842968161072,-0.642864129617513,0.0393370852631834,0.503766247430465,0.870048633362661,0.573092775151342
"f7","yah",2,"a","modal","L",159,-10.0275,9.191,-11.869,14.1665,11.3325,6.598,15.678,20.3015,15.211,-2.25963731050576,30.007,39.728,42.5085,43.596,0.571,182.9385,340.696,2092.1345,152.3665,121.003,0.176,0.0355,0.173575067590687,"OK",3.62185692305469,NA,-0.314548919152076,0.455306847517562,-1.08416323896035,0.981504899340337,0.270344999498188,-0.712029674262902,-0.34478246693354,-0.466808339303042,-0.950234694512429,0.280049278464746,0.772527652710797,0.874526877396671,0.768768851159948,-0.0386814890813169,1.14858912394662,0.396747949606868,-1.05566538604591,1.34985091332975,-0.82509768622658,-0.478260458565893,0.334991768595893,0.627049550049124,0.273264862668569
"f7","yah",3,"a","modal","L",208,-7.344,11.3075,-3.428,14.615,19.834,14.028,11.407,15.909,15.4035,-2.02227639471115,30.813,45.4225,47.889,48.2225,0.294,185.6955,325.3835,2151.1195,87.686,244.3035,0.1625,0.051,0.217580390801213,"OK",4.3968543204532,NA,0.104208105654554,0.846133723498771,-0.274921313398142,0.513527234842898,-0.133782377475568,-0.670181080805235,0.410075400930473,0.122653268658665,-0.483489291747722,0.370394384408878,1.34029152984212,1.41147604921483,1.23777061707886,0.00770015627442738,-0.115724229145048,0.439845901387804,-1.11920642567639,1.59275168055523,-1.15515362143751,0.802507679844025,0.127859453662554,0.744315091262564,0.403293869090964
"f7","za7a",1,"a","laryngealized","F",174,-2.7315,11.531,-8.436,29.4345,22.3915,26.5515,12.9215,11.5115,15.125,-1.48148606012211,21.992,21.587,23.947,29.057,0.11,60.736,858.2855,1645.9675,410.359,137.0485,0.0545,0.028,-1.77693654272282,"OK",1.35220078089504,NA,0.823983315984563,0.887404598425206,-0.755040204905728,0.67947248721503,-0.538369774229602,0.71259535341081,0.637158738819341,1.11620945268403,0.579918311328101,-0.618357699379197,-1.03620085638383,-0.977825516005944,-0.705091880428738,-0.0594026397337534,-0.955556925783559,-1.51354492399122,1.09213379317489,-0.487468856284428,0.491403513747229,-0.311589884116833,-1.52919906580415,0.550839875510788,0.465246703127334
"f7","za7a",2,"a","laryngealized","F",159,-3.703,11.355,-7.099,43.477,32.035,38.8685,30.229,6.7695,17.6965,-2,22.953,29.0735,32.925,37.182,0.101,60.3095,974.455,1694.7795,631.068,73.19,0.059,0.026,-1.78374404012917,"OK",2.61658585638361,NA,0.672381881440259,0.85490493852788,-0.626861499245655,2.57587225970143,-0.974652533844753,2.02287154879384,1.49341608737508,2.09338288811664,-0.439685092615799,-0.510638534599655,-0.289767584605158,-0.0818623778991817,0.118563009464519,0.560183859135322,-0.996635698988703,-1.52021205363742,1.57419294767955,-0.286460595712922,1.61765200292819,-0.974911867131093,-1.46015496082637,0.527163895609379,0.944370431840712
"f7","za7a",3,"a","laryngealized","F",209,-4.9605,6.3905,-3.3805,24.238,10.0315,-2.572,-2.0305,27.224,14.5525,-1.20065945054642,15.91,18.1605,19.4565,21.3055,0.22,125.9595,600.0665,1737.552,380.569,115.8395,0.091,0.0235,-0.735884240067123,"OK",0.14889550815152,NA,0.476150482634841,-0.0618255248828061,-0.270367470078132,-0.958832836963316,0.907242385292344,0.227720847496058,-0.460299738719823,-1.19431344630289,1.1321344525351,-1.30009334994025,-1.37783628091461,-1.42595677816549,-1.49088398861429,-0.197342857739799,-0.453483031054015,-0.493958686057259,0.0206233466545949,-0.110323051148168,0.339389130587952,-0.531895652929903,-0.969174658762163,0.494971336029186,-0.224186221462838
